 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   5.38000 ,    -0.207038375097847E+00 ,     0.156482850740417E+00 ,    -0.543144662810112E-01 , 
   5.40000 ,    -0.201802990493416E+00 ,     0.115799663066703E+00 ,    -0.323525911815849E-01 , 
   5.42000 ,    -0.163768628717919E+00 ,     0.792366543200715E-01 ,    -0.177926493344218E-01 , 
   5.44000 ,    -0.117249565396349E+00 ,     0.613715241749073E-01 ,    -0.163487761586680E-01 , 
   5.46000 ,    -0.686648548631188E-01 ,     0.600536864465253E-01 ,    -0.242014765123619E-01 , 
   5.48000 ,    -0.141064707763824E-01 ,     0.595044560595749E-01 ,    -0.309124020307250E-01 , 
   5.50000 ,     0.446864535170790E-01 ,     0.427353126310561E-01 ,    -0.266517867127621E-01 , 
   5.52000 ,     0.924488133231797E-01 ,     0.445938272514205E-02 ,    -0.892604553486209E-02 , 
   5.54000 ,     0.108472939437897E+00 ,    -0.443595643889666E-01 ,     0.155665393498206E-01 , 
   5.56000 ,     0.839484475243651E-01 ,    -0.832943784147982E-01 ,     0.350576966803061E-01 , 
   5.58000 ,     0.333784273855516E-01 ,    -0.958734647117468E-01 ,     0.400471764638445E-01 , 
   5.60000 ,    -0.109059587353403E-01 ,    -0.806044008373297E-01 ,     0.291475762365935E-01 , 
   5.62000 ,    -0.188779787769500E-01 ,    -0.523424022127188E-01 ,     0.985400370336916E-02 , 
   5.64000 ,     0.163680056409977E-01 ,    -0.332175248275060E-01 ,    -0.602130449503972E-02 , 
   5.66000 ,     0.722263321382050E-01 ,    -0.391110371016210E-01 ,    -0.921719926963066E-02 , 
   5.68000 ,     0.109631393576349E+00 ,    -0.703471196865838E-01 ,     0.204253252313403E-02 , 
   5.70000 ,     0.970221310268604E-01 ,    -0.112295650714576E+00 ,     0.218077233338366E-01 , 
   5.72000 ,     0.296580932469359E-01 ,    -0.145121072439522E+00 ,     0.405707902646002E-01 , 
   5.74000 ,    -0.672456545492368E-01 ,    -0.156226419367877E+00 ,     0.509587184203292E-01 , 
   5.76000 ,    -0.151840034788885E+00 ,    -0.147565833512108E+00 ,     0.514399229415370E-01 , 
   5.78000 ,    -0.185843929533676E+00 ,    -0.133554193375503E+00 ,     0.460921696415130E-01 , 
   5.80000 ,    -0.150118832007284E+00 ,    -0.131302149172755E+00 ,     0.410547288331291E-01 , 
   5.82000 ,    -0.498416160133613E-01 ,    -0.149517203855015E+00 ,     0.402294992386900E-01 , 
