 Q (1/Ang),Yb-Yb,Yb-Sn,Yb-O ,Sn-Sn,Sn-O ,O-O  
   2.08000 ,     0.235402459611804E+02 ,     0.245473583128456E+02 ,    -0.638669835475735E+00 ,     0.237732441549467E+02 ,     0.227713705776539E+01 ,    -0.201305730102631E+01 , 
   2.09000 ,     0.260589471669709E+02 ,     0.380264533667982E+02 ,     0.129523276808910E+01 ,     0.264069833607980E+02 ,     0.126472766797251E+01 ,    -0.300931600942909E+01 , 
   2.10000 ,     0.286310837172493E+02 ,     0.469863787883680E+02 ,     0.251784018119559E+01 ,     0.290818825634448E+02 ,     0.323258009918639E+00 ,    -0.353255926640754E+01 , 
   2.11000 ,     0.305099288570051E+02 ,     0.506002651784071E+02 ,     0.291363853338042E+01 ,     0.310281627006789E+02 ,    -0.537649113676508E+00 ,    -0.349180861394782E+01 , 
   2.12000 ,     0.309579002506460E+02 ,     0.488695212062127E+02 ,     0.252315889632463E+01 ,     0.314916363461784E+02 ,    -0.127735493953588E+01 ,    -0.292448283111366E+01 , 
   2.13000 ,     0.294141249584830E+02 ,     0.425656051094799E+02 ,     0.153189770305000E+01 ,     0.299047225230824E+02 ,    -0.182497148258895E+01 ,    -0.198961833309959E+01 , 
   2.14000 ,     0.256326864653842E+02 ,     0.330442015704717E+02 ,     0.230338560299906E+00 ,     0.260259304611515E+02 ,    -0.209595755925944E+01 ,    -0.931991412775807E+00 , 
   2.15000 ,     0.197610124075389E+02 ,     0.219748677088648E+02 ,    -0.104722704543681E+01 ,     0.200171030864348E+02 ,    -0.202005396251310E+01 ,    -0.248964583067379E-01 , 
   2.16000 ,     0.123398494337769E+02 ,     0.110421662610519E+02 ,    -0.199277092358230E+01 ,     0.124402320650882E+02 ,    -0.157213389608053E+01 ,     0.495276307890079E+00 , 
   2.17000 ,     0.422240776812363E+01 ,     0.167515111733170E+01 ,    -0.238899606562959E+01 ,     0.417221092760937E+01 ,    -0.795945057425031E+00 ,     0.487135253253835E+00 , 
   2.18000 ,    -0.357283920438859E+01 ,    -0.514851350472984E+01 ,    -0.215450595379135E+01 ,    -0.374698893261715E+01 ,     0.188023916520694E+00 ,    -0.591875325029207E-01 , 
   2.19000 ,    -0.100471220347626E+02 ,    -0.899645386397184E+01 ,    -0.135971499348724E+01 ,    -0.103031641779520E+02 ,     0.119545139617613E+01 ,    -0.101656350244293E+01 , 
   2.20000 ,    -0.144072531062252E+02 ,    -0.996879007180475E+01 ,    -0.209530636761511E+00 ,    -0.146961520144176E+02 ,     0.201124021350575E+01 ,    -0.214874220569524E+01 , 
   2.21000 ,    -0.162148861638257E+02 ,    -0.859515033235642E+01 ,     0.100410699290346E+01 ,    -0.164896412458031E+02 ,     0.243635195532709E+01 ,    -0.316590399132491E+01 , 
   2.22000 ,    -0.154687453612381E+02 ,    -0.567345801444072E+01 ,     0.197009438155998E+01 ,    -0.156921753016332E+02 ,     0.233761262658579E+01 ,    -0.379536683263058E+01 , 
   2.23000 ,    -0.126028593534001E+02 ,    -0.208942463528380E+01 ,     0.243191767928395E+01 ,    -0.127528153316726E+02 ,     0.168781461064394E+01 ,    -0.385084789834377E+01 , 
   2.24000 ,    -0.840081844971145E+01 ,     0.134639540451115E+01 ,     0.225094190585980E+01 ,    -0.847214554867364E+01 ,     0.584760178851642E+00 ,    -0.328343677273744E+01 , 
